gene	ModelLabel	ClinVarLabel	value	classifier
BRCA1	ambiguous	benign_pct	6.611570248	AM
BRCA1	benign	benign_pct	92.56198347	AM
BRCA1	pathogenic	benign_pct	0.826446281	AM
BRCA1	ambiguous	pathogenic_pct	0	AM
BRCA1	benign	pathogenic_pct	14.28571429	AM
BRCA1	pathogenic	pathogenic_pct	85.71428571	AM
BRCA1	ambiguous	VUS_pct	4.888888889	AM
BRCA1	benign	VUS_pct	90.22222222	AM
BRCA1	pathogenic	VUS_pct	4.888888889	AM
BRCA1	benign	benign_pct	43.80165289	EVE
BRCA1	pathogenic	benign_pct	23.14049587	EVE
BRCA1	ambiguous	benign_pct	33.05785124	EVE
BRCA1	benign	pathogenic_pct	0	EVE
BRCA1	pathogenic	pathogenic_pct	85.71428571	EVE
BRCA1	ambiguous	pathogenic_pct	14.28571429	EVE
BRCA1	benign	VUS_pct	42.66666667	EVE
BRCA1	pathogenic	VUS_pct	26.22222222	EVE
BRCA1	ambiguous	VUS_pct	31.11111111	EVE
BRCA1	benign	benign_pct	94.21487603	ESM1b
BRCA1	pathogenic	benign_pct	5.785123967	ESM1b
BRCA1	benign	pathogenic_pct	14.28571429	ESM1b
BRCA1	pathogenic	pathogenic_pct	85.71428571	ESM1b
BRCA1	benign	VUS_pct	94.66666667	ESM1b
BRCA1	pathogenic	VUS_pct	5.333333333	ESM1b
BRCA2	ambiguous	benign_pct	3.703703704	AM
BRCA2	benign	benign_pct	92.59259259	AM
BRCA2	pathogenic	benign_pct	3.703703704	AM
BRCA2	ambiguous	pathogenic_pct	0	AM
BRCA2	benign	pathogenic_pct	14.28571429	AM
BRCA2	pathogenic	pathogenic_pct	85.71428571	AM
BRCA2	ambiguous	VUS_pct	4.821428571	AM
BRCA2	benign	VUS_pct	89.10714286	AM
BRCA2	pathogenic	VUS_pct	6.071428571	AM
BRCA2	benign	benign_pct	40.74074074	EVE
BRCA2	pathogenic	benign_pct	6.666666667	EVE
BRCA2	ambiguous	benign_pct	52.59259259	EVE
BRCA2	benign	pathogenic_pct	14.28571429	EVE
BRCA2	pathogenic	pathogenic_pct	85.71428571	EVE
BRCA2	ambiguous	pathogenic_pct	0	EVE
BRCA2	benign	VUS_pct	37.32142857	EVE
BRCA2	pathogenic	VUS_pct	13.03571429	EVE
BRCA2	ambiguous	VUS_pct	49.64285714	EVE
BRCA2	benign	benign_pct	94.07407407	ESM1b
BRCA2	pathogenic	benign_pct	5.925925926	ESM1b
BRCA2	benign	pathogenic_pct	14.28571429	ESM1b
BRCA2	pathogenic	pathogenic_pct	85.71428571	ESM1b
BRCA2	benign	VUS_pct	90	ESM1b
BRCA2	pathogenic	VUS_pct	10	ESM1b
ATM	ambiguous	benign_pct	13.04347826	AM
ATM	benign	benign_pct	82.60869565	AM
ATM	pathogenic	benign_pct	4.347826087	AM
ATM	ambiguous	pathogenic_pct	25	AM
ATM	benign	pathogenic_pct	25	AM
ATM	pathogenic	pathogenic_pct	50	AM
