category	classifier_beta	classifier_beta.lowCI	classifier_beta.hiCI	classifier_p.value	pctVUS	gene
ClinVar	1.961300949	1.059604138	2.748846562	0.000118386	0.887939437	BRCA1
AM	0.919934623	0.218278406	1.513408334	0.012408232	3.383462907	BRCA1
EVE	0.05117335	-0.119910831	0.214276025	0.550970234	1.803644688	BRCA1
ESM1b	0.084608157	-0.512990621	0.592004942	0.765132372	0	BRCA1
Composite_AM	0.928906289	0.226935234	1.522857627	0.011702921	0.043631995	BRCA1
Composite_EVE	0.346421742	-0.099952534	0.742122561	0.122986273	0.345656067	BRCA1
Composite_ESM1b	0.875952288	0.135547267	1.496146012	0.02263721	0	BRCA1
CV.VUS_AM	0.474505867	-0.840941897	1.462028452	0.433300713	4.913848117	BRCA1
CV.VUS_EVE	0.51489495	-0.181215618	1.20651075	0.145240099	38.92788768	BRCA1
CV.VUS_ESM1b	0.205997769	-1.389624036	1.31915962	0.762486435	0	BRCA1
ClinVar	1.885461773	1.31877314	2.401235376	1.05E-08	2.924487824	BRCA2
AM	0.444683351	0.203262708	0.67074108	0.000446886	0.327215421	BRCA2
EVE	0.082771362	-0.056273896	0.216733187	0.239722385	53.99375243	BRCA2
ESM1b	0.299303145	0.060526958	0.522748057	0.014852068	0	BRCA2
Composite_AM	0.749832811	0.380771607	1.085654561	0.000150993	0.283907497	BRCA2
Composite_EVE	0.386741952	0.112405984	0.641194271	0.006523535	2.272462978	BRCA2
Composite_ESM1b	0.573016032	0.235777249	0.88146836	0.001253604	0	BRCA2
CV.VUS_AM	0.263672799	-0.269951083	0.732719034	0.316159102	9.70793912	BRCA2
CV.VUS_EVE	0.077847691	-0.375445695	0.535912778	0.736615094	77.70464829	BRCA2
CV.VUS_ESM1b	0.168287269	-0.28953232	0.578611711	0.454952376	0	BRCA2
ClinVar	1.008000987	0.392493717	1.541175653	0.002221121	14.91709184	ATM
AM	0.080573988	-0.026746947	0.185138933	0.139852648	11.66818513	ATM
EVE	0.036890211	-0.066963874	0.140291717	0.485615238	68.64067055	ATM
ESM1b	0.089435218	-0.051290658	0.224971929	0.209737673	0	ATM
Composite_AM	0.134250338	-0.08169185	0.337665894	0.217726567	5.356231778	ATM
Composite_EVE	0.112442922	-0.086176361	0.300483583	0.261412209	8.541362974	ATM
Composite_ESM1b	0.077331403	-0.067237502	0.216397777	0.290035547	0	ATM
CV.VUS_AM	-0.026564076	-0.276222075	0.2110532	0.830118883	35.90667562	ATM
CV.VUS_EVE	0.051460477	-0.196617811	0.29279764	0.680759242	57.25890185	ATM
CV.VUS_ESM1b	0.040297273	-0.128836085	0.205508356	0.637377095	0	ATM
ClinVar	1.329747933	0.511635179	2.25682636	0.001120513	87.96296296	CHEK2
AM	0.239611053	-0.051747764	0.526079922	0.106313726	13.24588477	CHEK2
EVE	NA	NA	NA	NA	NA	CHEK2
ESM1b	0.130727073	-0.138646607	0.402131621	0.341989731	0	CHEK2
Composite_AM	0.282894422	-0.005763859	0.566153218	0.054695349	7.175925926	CHEK2
Composite_EVE	NA	NA	NA	NA	NA	CHEK2
Composite_ESM1b	0.141596132	-0.127875604	0.413293125	0.303572212	0	CHEK2
CV.VUS_AM	0.124501799	-0.201145632	0.439628107	0.448436293	8.157894737	CHEK2
CV.VUS_EVE	NA	NA	NA	NA	NA	CHEK2
CV.VUS_ESM1b	-0.004617778	-0.293030368	0.284748964	0.974971697	0	CHEK2
ClinVar	NA	NA	NA	NA	25.9364	PALB2
AM	0.36298054	0.12113121	0.589950323	0.003798345	4.07980941	PALB2
EVE	0.074589392	-0.015207068	0.163377742	0.103172873	13.05175038	PALB2
ESM1b	0.214745809	0.094694514	0.331631794	0.00052358	0	PALB2
Composite_AM	0.351919517	0.110239218	0.578696169	0.004920995	0.493018331	PALB2
Composite_EVE	0.192566458	-0.006387409	0.381390284	0.057609215	3.877969691	PALB2
Composite_ESM1b	0.286670928	0.090730483	0.472886121	0.004605684	0	PALB2
CV.VUS_AM	0.373445901	0.122239598	0.611150045	0.00406306	1.900873892	PALB2
CV.VUS_EVE	0.188884184	-0.024307649	0.393740817	0.081746603	14.95184028	PALB2
CV.VUS_ESM1b	0.311523602	0.103451935	0.511344514	0.003688851	0	PALB2
