category	classifier_beta	classifier_beta.lowCI	classifier_beta.hiCI	classifier_p.value	pctVUS	gene
ClinVar	2.870070254	1.55328518	3.863400872	0.000301667	0.887939437	BRCA1
AM	1.236389485	-0.332575532	2.290589998	0.106979354	3.383462907	BRCA1
EVE	0.115783512	-0.296604514	0.481384854	0.565045516	1.803644688	BRCA1
ESM1b	0.795577845	-0.302313004	1.60949523	0.138562054	0	BRCA1
Composite_AM	1.597822899	0.316027776	2.51978232	0.018898822	0.043631995	BRCA1
Composite_EVE	0.481636195	-0.614785062	1.292836292	0.347144033	0.345656067	BRCA1
Composite_ESM1b	1.65093422	0.368280671	2.574625975	0.016011944	0	BRCA1
CV.VUS_AM	0.607172766	-4.273795549	2.800136711	0.705798812	4.913848117	BRCA1
CV.VUS_EVE	1.803200521	-1.13869384	6.790431938	0.227125601	38.92788768	BRCA1
CV.VUS_ESM1b	0.56328764	-4.3109035	2.713928469	0.723394388	0	BRCA1
ClinVar	2.531785411	1.621208408	3.2626661	6.29E-06	2.924487824	BRCA2
AM	0.619062251	0.071398523	1.085561399	0.028346785	0.327215421	BRCA2
EVE	0.041392101	-0.299530067	0.350736225	0.803617965	53.99375243	BRCA2
ESM1b	0.400862868	-0.16631597	0.88094546	0.155590557	0	BRCA2
Composite_AM	1.415857371	0.767252398	1.956588335	0.000113809	0.283907497	BRCA2
Composite_EVE	0.667818191	0.07732289	1.165032953	0.028391478	2.272462978	BRCA2
Composite_ESM1b	0.99141766	0.312236397	1.550965337	0.006172821	0	BRCA2
CV.VUS_AM	1.567851957	0.523534567	2.432986743	0.005372974	9.70793912	BRCA2
CV.VUS_EVE	-0.071566866	-1.110471423	0.967411698	0.890369425	77.70464829	BRCA2
CV.VUS_ESM1b	0.867764857	-0.277177493	1.769967442	0.124907608	0	BRCA2
